material_id,formula,energy_above_hull,n_elements,formula_sta,stability_passed,stability_min_dE_eV,stability_details,best_miller,best_mismatch_pct,best_mismatch_a_pct,best_mismatch_b_pct,best_angle_diff_deg,lattice_details,formula_ads,best_coverage_ML,best_n_Li,best_E_clean_eV,best_E_ads_system_eV,best_E_ads_eV,best_ads_status,best_path,best_barrier_eV,best_neb_status,ranked_mismatch_pct,ranked_E_ads_eV,S_lattice,S_adsorption,ranked_barrier_eV,S_diffusion,score_mode,score,final_rank,final_decision
mp-863690,Ti2MnCo,0.0,3,Ti2MnCo,True,,稳定: min dE = -0.000 eV/atom,"(1, 0, 0)",0.173,0.173,0.173,28.62,"film(5,5) Li(7,7)",Ti2MnCo,1.0,6.0,-386.177001953125,-399.0929870605469,-0.4180000126361847,success,,,,0.173,-0.4180000126361847,0.9784,0.9194,,,pre_neb,0.9447,53.0,入围：已完成综合评分
mp-1222413,LiB3,0.0,2,LiB3,True,,稳定: min dE = -0.008 eV/atom,"(1, 0, 1)",0.681,0.681,0.681,28.62,"film(1,1) Li(2,2)",LiB3,1.0,17.0,-1046.06005859375,-1083.156982421875,-0.4474999904632568,success,,,,0.681,-0.4474999904632568,0.9149,0.9661,,,pre_neb,0.9442,54.0,入围：已完成综合评分
mp-1192512,Ta2(Ni7B2)3,0.0,3,Ta2(Ni7B2)3,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 1)",1.007,1.007,1.007,58.62,"film(2,2) Li(5,5)",Ta2(Ni7B2)3,1.0,19.0,-1517.3380126953125,-1560.116943359375,-0.5169000029563904,success,,,,1.007,-0.5169000029563904,0.8741,0.9964,,,pre_neb,0.944,55.0,入围：已完成综合评分
mp-8307,CaNi4B,0.0,3,CaNi4B,True,,稳定: min dE = 0.000 eV/atom,"(0, 0, 1)",0.678,0.678,0.678,58.62,"film(3,3) Li(5,5)",CaNi4B,1.0,10.0,-513.1840209960938,-536.0659790039062,-0.553600013256073,success,,,,0.678,-0.553600013256073,0.9152,0.9647,,,pre_neb,0.9435,56.0,入围：已完成综合评分
mp-603347,TiNi,0.017404175,2,TiNi,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 1)",0.55,0.338,0.55,28.62,"film(5,2) Li(7,3)",TiNi,0.25,2.0,-551.5390014648438,-555.8839721679688,-0.4375,success,,,,0.55,-0.4375,0.9312,0.9523,,,pre_neb,0.9433,57.0,入围：已完成综合评分
mp-1215704,Zr3Mn8Al,0.0,3,Zr3Mn8Al,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 0)",0.952,0.952,0.562,28.62,"film(3,5) Li(8,7)",Zr3Mn8Al,0.25,4.0,-2031.364013671875,-2040.18994140625,-0.4717999994754791,success,,,,0.952,-0.4717999994754791,0.881,0.9901,,,pre_neb,0.9433,58.0,入围：已完成综合评分
mp-1210179,Nb2(Ni7B2)3,0.0,3,Nb2(Ni7B2)3,True,,稳定: min dE = -0.000 eV/atom,"(1, 1, 1)",0.972,0.972,0.972,58.62,"film(2,2) Li(5,5)",Nb2(Ni7B2)3,1.0,19.0,-1485.123046875,-1528.072998046875,-0.5257999897003174,success,,,,0.972,-0.5257999897003174,0.8785,0.9917,,,pre_neb,0.9432,59.0,入围：已完成综合评分
mp-1223824,Hf2Fe3Si,0.0,3,Hf2Fe3Si,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",1.046,1.046,1.046,58.62,"film(3,3) Li(5,5)",Hf2Fe3Si,1.0,10.0,-844.302978515625,-866.7839965820312,-0.5134000182151794,success,,,,1.046,-0.5134000182151794,0.8692,0.9978,,,pre_neb,0.9427,60.0,入围：已完成综合评分
mp-1228540,Al2VNi9,0.0,3,Al2VNi9,True,,稳定: min dE = -0.000 eV/atom,"(0, 0, 1)",1.071,1.071,1.071,28.62,"film(5,5) Li(6,6)",Al2VNi9,1.0,6.0,-279.2449951171875,-292.6159973144531,-0.4939000010490417,success,,,,1.071,-0.4939000010490417,0.8661,0.9995,,,pre_neb,0.9424,61.0,入围：已完成综合评分
mp-1077790,NbFe2,0.0,2,NbFe2,True,,稳定: min dE = -0.000 eV/atom,"(1, 0, 0)",0.109,0.109,0.109,28.62,"film(5,5) Li(8,8)",NbFe2,1.0,8.0,-641.6339721679688,-659.4619750976562,-0.4939000010490417,success,top_to_bridge,0.1782000064849853,success,0.109,-0.4939000010490417,0.9864,0.9995,0.1782,0.8218,with_neb,0.9423,62.0,入围：已完成综合评分
