material_id,formula,coverage_ML,n_Li,E_clean_eV,E_ads_system_eV,E_ads_eV,status
mp-23024,SrBrF,0.25,2,-224.78399658203125,-240.4900054931641,-6.118500232696533,success
mp-23024,SrBrF,1.0,8,-224.78399658203125,-255.53399658203125,-2.109100103378296,success
mp-23033,Sr2NCl,0.25,1,-158.17799377441406,-161.55999755859375,-1.6473000049591064,success
mp-23033,Sr2NCl,1.0,6,-158.17799377441406,-169.6820068359375,-0.1825000047683715,success
mp-23040,Ca2PI,0.25,1,-186.73399353027344,-190.0659942626953,-1.597499966621399,success
mp-23040,Ca2PI,1.0,7,-186.73399353027344,-206.3260040283203,-1.0642999410629272,success
mp-23046,SrIF,0.25,5,-449.5559997558594,-466.6830139160156,-1.6907999515533447,success
mp-23046,SrIF,1.0,20,-449.5559997558594,-423.1960144042969,3.0527000427246094,success
mp-23056,Sr2BrN,0.25,1,-226.1499938964844,-227.6000061035156,0.2838999927043915,success
mp-23056,Sr2BrN,1.0,6,-226.1499938964844,-235.7100067138672,0.1412999927997589,success
mp-23063,Ba4Cl6O,0.25,8,-884.3779907226562,-898.9509887695312,-0.0869999974966049,success
mp-23063,Ba4Cl6O,1.0,33,-884.3779907226562,-906.7100219726562,1.0578999519348145,success
mp-23070,BaBrF,0.25,4,-487.1380004882813,-503.9419860839844,-2.4663000106811523,success
mp-23070,BaBrF,1.0,17,-487.1380004882813,-495.5119934082031,1.2421000003814695,success
mp-2318,Nb2C,0.25,1,-826.9509887695312,-829.8980102539062,-1.2131999731063845,success
mp-2318,Nb2C,1.0,6,-826.9509887695312,-840.4520263671875,-0.5156000256538391,success
mp-23181,SrI2,0.25,15,-655.843017578125,-676.1290283203125,0.3822999894618988,success
mp-23181,SrI2,1.0,62,-655.843017578125,-599.9949951171875,2.6354000568389893,success
mp-23193,KCl,0.25,1,-81.51200103759766,-85.81500244140625,-2.567500114440918,success
mp-23193,KCl,1.0,7,-81.51200103759766,-95.20600128173828,-0.2214999943971634,success
mp-23199,BaCl2,0.25,4,-445.9660034179688,-464.9750061035156,-3.0176000595092773,success
mp-23199,BaCl2,1.0,19,-445.9660034179688,-484.3039855957031,-0.2831999957561493,success
mp-23209,SrCl2,0.25,2,-152.45599365234375,-164.52000427246094,-4.297299861907959,success
mp-23209,SrCl2,1.0,8,-152.45599365234375,-168.69900512695312,-0.2958000004291534,success
mp-23214,CaCl2,0.25,3,-211.0959930419922,-220.781005859375,-1.4937000274658203,success
mp-23214,CaCl2,1.0,13,-211.0959930419922,-233.17999267578125,0.0359000004827976,success
mp-23251,KBr,0.25,1,-75.61900329589844,-79.31400299072266,-1.960199952125549,success
mp-23251,KBr,1.0,7,-75.61900329589844,-88.25900268554688,-0.0710000023245811,success
mp-23259,LiBr,0.25,1,-108.63899993896484,-113.3949966430664,-3.021199941635132,success
mp-23259,LiBr,1.0,5,-108.63899993896484,-118.04199981689452,-0.1459999978542328,success
mp-23260,BaI2,0.25,6,-169.08599853515625,-189.1840057373047,-1.61489999294281,success
mp-23260,BaI2,1.0,24,-169.08599853515625,-214.3769989013672,-0.1524000018835067,success
mp-23268,NaI,0.25,1,-64.61399841308594,-66.08200073242188,0.2666000127792358,success
mp-23268,NaI,1.0,7,-64.61399841308594,-75.56900024414062,0.1695999950170517,success
mp-23289,KCl,0.25,1,-142.14300537109375,-145.32000732421875,-1.442199945449829,success
mp-23289,KCl,1.0,7,-142.14300537109375,-153.97900390625,0.0439000017940998,success
mp-23295,RbCl,0.25,1,-80.39700317382812,-84.55400085449219,-2.421600103378296,success
mp-23295,RbCl,1.0,7,-80.39700317382812,-93.6050033569336,-0.1521999984979629,success
mp-23299,RbCl,0.25,2,-139.22999572753906,-145.10400390625,-1.202399969100952,success
mp-23299,RbCl,1.0,8,-139.22999572753906,-152.76300048828125,0.0430000014603138,success
mp-23302,RbI,0.25,2,-90.54399871826172,-95.61399841308594,-0.8001999855041504,success
mp-23302,RbI,1.0,9,-90.54399871826172,-104.31999969482422,0.2039999961853027,success
mp-23303,RbBr,0.25,2,-128.72999572753906,-134.875,-1.3380999565124512,success
mp-23303,RbBr,1.0,8,-128.72999572753906,-142.64599609375,-0.0049000000581145,success
mp-2331,B2Mo,0.25,1,-775.7739868164062,-778.7100219726562,-1.2015999555587769,success
mp-2331,B2Mo,1.0,3,-775.7739868164062,-784.2750244140625,-1.0990999937057495,success
mp-23321,Sr4Cl6O,0.25,7,-1308.5159912109375,-1320.7469482421875,-0.0126000000163912,success
mp-23321,Sr4Cl6O,1.0,30,-1308.5159912109375,-1329.89794921875,1.0219000577926636,success
mp-23326,Ca4Cl6O,0.25,6,-1325.7869873046875,-1343.27001953125,-1.1792999505996704,success
mp-23326,Ca4Cl6O,1.0,27,-1325.7869873046875,-1371.3079833984375,0.048700001090765,success
mp-23364,CsLiCl2,0.25,3,-224.14100646972656,-243.5,-4.718299865722656,success
mp-23364,CsLiCl2,1.0,12,-224.14100646972656,-262.2300109863281,-1.4393999576568604,success
mp-2337,HfCo2,0.25,2,-588.7490234375,-593.593994140625,-0.6880000233650208,success
mp-2337,HfCo2,1.0,8,-588.7490234375,-608.6409912109375,-0.751800000667572,success
mp-2341,Li3N,0.25,1,-244.09100341796875,-245.3099975585937,0.5164999961853027,success
mp-2341,Li3N,1.0,5,-244.09100341796875,-251.6269989013672,0.2275999933481216,success
mp-23432,BaClF,0.25,2,-240.8300018310547,-256.843994140625,-6.27269983291626,success
mp-23432,BaClF,1.0,9,-240.8300018310547,-273.5039978027344,-1.895799994468689,success
mp-2362485,LiMg,0.25,3,-286.5719909667969,-270.5539855957031,7.073699951171875,success
mp-2362485,LiMg,1.0,12,-286.5719909667969,-224.375,6.917699813842773,success
mp-2363,HfMo2,0.25,2,-746.2349853515625,-751.3800048828125,-0.838100016117096,success
mp-2363,HfMo2,1.0,10,-746.2349853515625,-771.958984375,-0.8378000259399414,success
mp-2364,PaO2,0.25,1,-474.5989990234375,-476.3219909667969,0.0120999999344348,success
mp-2364,PaO2,1.0,5,-474.5989990234375,-484.1300048828125,-0.1715999990701675,success
mp-23703,LiH,0.25,1,-122.40299987792967,-124.06199645996094,0.0764999985694885,success
mp-23703,LiH,1.0,2,-122.40299987792967,-125.83000183105467,0.0210999995470047,success
mp-23713,CaH2,0.25,2,-335.7070007324219,-341.2120056152344,-1.017899990081787,success
mp-23713,CaH2,1.0,10,-335.7070007324219,-354.3680114746094,-0.1315000057220459,success
mp-23714,SrH2,0.25,3,-486.7730102539063,-491.5979919433594,0.1264999955892563,success
mp-23714,SrH2,1.0,14,-486.7730102539063,-509.2229919433594,0.1310999989509582,success
mp-23759,SrH2,0.25,1,-163.2010040283203,-165.56300354003906,-0.6273999810218811,success
mp-23759,SrH2,1.0,7,-163.2010040283203,-176.92599487304688,-0.2260999977588653,success
mp-23818,BaLiH3,0.25,2,-261.5159912109375,-265.0769958496094,-0.045899998396635,success
mp-23818,BaLiH3,1.0,8,-261.5159912109375,-273.92498779296875,0.1835999935865402,success
mp-23827,Sr7(H6Cl)2,0.25,4,-906.6799926757812,-916.5170288085938,-0.7245000004768372,success
mp-23827,Sr7(H6Cl)2,1.0,17,-906.6799926757812,-881.3670043945312,3.223700046539306,success
mp-23828,Sr7(H6Br)2,0.25,4,-586.1309814453125,-591.489990234375,0.3948999941349029,success
mp-23828,Sr7(H6Br)2,1.0,17,-586.1309814453125,-565.947021484375,2.921999931335449,success
mp-2385,TaCr2,0.25,2,-730.8250122070312,-735.7789916992188,-0.7419999837875366,success
mp-2385,TaCr2,1.0,8,-730.8250122070312,-750.073974609375,-0.6714000105857849,success
mp-23859,CaHCl,0.25,1,-186.19000244140625,-191.3390045166016,-3.413599967956543,success
mp-23859,CaHCl,1.0,6,-186.19000244140625,-207.31399536132807,-1.785899996757507,success
mp-23860,SrHCl,0.25,3,-386.47900390625,-395.62200927734375,-1.3131999969482422,success
mp-23860,SrHCl,1.0,14,-386.47900390625,-400.5679931640625,0.7282000184059143,success
mp-23861,BaHCl,0.25,2,-190.3350067138672,-199.2019958496093,-2.6991000175476074,success
mp-23861,BaHCl,1.0,9,-190.3350067138672,-216.38299560546875,-1.159600019454956,success
mp-23862,BaHI,0.25,4,-344.32000732421875,-354.1239929199219,-0.7163000106811523,success
mp-23862,BaHI,1.0,19,-344.32000732421875,-378.0530090332031,-0.0406999997794628,success
mp-2404,CaAl2,0.25,2,-240.2669982910156,-244.7740020751953,-0.5188999772071838,success
mp-2404,CaAl2,1.0,11,-240.2669982910156,-256.552001953125,0.2542000114917755,success
mp-24119,Ca2HN,0.25,4,-565.5640258789062,-584.5800170898438,-3.0192999839782715,success
mp-24119,Ca2HN,1.0,17,-565.5640258789062,-626.4949951171875,-1.8494999408721924,success
mp-24147,AcH2,0.25,1,-147.9550018310547,-149.48699951171875,0.2031999975442886,success
mp-24147,AcH2,1.0,6,-147.9550018310547,-158.5590057373047,-0.0326999984681606,success
mp-24155,ZrH2,0.25,1,-266.3789978027344,-268.18798828125,-0.0741999968886375,success
mp-24155,ZrH2,1.0,4,-266.3789978027344,-274.68701171875,-0.3422000110149383,success
mp-24161,TiH2,0.25,1,-252.4239959716797,-254.30099487304688,-0.1424999982118606,success
mp-24161,TiH2,1.0,3,-252.4239959716797,-258.6059875488281,-0.3262999951839447,success
mp-242,SrB6,0.25,2,-851.3759765625,-857.4420166015625,-1.2979999780654907,success
mp-242,SrB6,1.0,8,-851.3759765625,-867.9180297851562,-0.3330000042915344,success
mp-24204,CaHI,0.25,2,-160.281005859375,-169.64100646972656,-2.9453001022338867,success
mp-24204,CaHI,1.0,8,-160.281005859375,-183.2059936523437,-1.13100004196167,success
mp-24205,SrHI,0.25,4,-331.71099853515625,-342.42999267578125,-0.9452000260353088,success
mp-24205,SrHI,1.0,19,-331.71099853515625,-332.6960144042969,1.682800054550171,success
mp-2426,LiAg,0.25,1,-119.927001953125,-122.29000091552734,-0.6284000277519226,success
mp-2426,LiAg,1.0,5,-119.927001953125,-130.8560028076172,-0.4510999917984009,success
mp-24286,ZrH2,0.25,1,-265.4179992675781,-267.2090148925781,-0.0557000003755092,success
mp-24286,ZrH2,1.0,4,-265.4179992675781,-273.7300109863281,-0.3431999981403351,success
mp-2432,CaMg2,0.25,6,-323.75201416015625,-335.95001220703125,-0.2982999980449676,success
mp-2432,CaMg2,1.0,27,-323.75201416015625,-363.56201171875,0.2601999938488006,success
mp-24422,CaHBr,0.25,4,-366.4100036621094,-376.10101318359375,-0.6880999803543091,success
mp-24422,CaHBr,1.0,16,-366.4100036621094,-391.6809997558594,0.1552000045776367,success
mp-24423,SrHBr,0.25,2,-172.802001953125,-181.72300720214844,-2.725600004196167,success
mp-24423,SrHBr,1.0,8,-172.802001953125,-195.3890075683593,-1.0887000560760498,success
mp-24424,BaHBr,0.25,4,-374.1319885253906,-384.4859924316406,-0.8539999723434448,success
mp-24424,BaHBr,1.0,17,-374.1319885253906,-406.9880065917969,-0.1981000006198883,success
mp-2454,TiFe2,0.25,2,-798.5139770507812,-804.3200073242188,-1.1684000492095947,success
mp-2454,TiFe2,1.0,9,-798.5139770507812,-819.594970703125,-0.6075999736785889,success
mp-2472,SrO,0.25,1,-189.2769927978516,-194.968002319336,-3.9565000534057617,success
mp-2472,SrO,1.0,4,-189.2769927978516,-206.86199951171875,-2.661600112915039,success
mp-24726,TiH2,0.25,1,-510.5849914550781,-512.8280029296875,-0.5087000131607056,success
mp-24726,TiH2,1.0,3,-510.5849914550781,-512.1320190429688,1.218999981880188,success
mp-24809,CaH2,0.25,1,-167.9340057373047,-170.47500610351562,-0.8059999942779541,success
mp-24809,CaH2,1.0,6,-167.9340057373047,-180.7850036621093,-0.4070999920368194,success
mp-2481,Mg2Cu,0.25,2,-233.4290008544922,-239.04400634765625,-1.0729999542236328,success
mp-2481,Mg2Cu,1.0,11,-233.4290008544922,-259.1090087890625,-0.5999000072479248,success
mp-2517,Ca2Si,0.25,4,-329.4100036621094,-338.7279968261719,-0.5949000120162964,success
mp-2517,Ca2Si,1.0,17,-329.4100036621094,-364.4930114746094,-0.3289999961853027,success
mp-2530,Li2Te,0.25,1,-114.51000213623048,-118.70999908447266,-2.4644999504089355,success
mp-2530,Li2Te,1.0,7,-114.51000213623048,-136.5399932861328,-1.4124000072479248,success
mp-2536,Ni2B,0.25,1,-1189.3900146484375,-1192.2130126953125,-1.089100003242493,success
mp-2536,Ni2B,1.0,6,-1189.3900146484375,-1202.7110595703125,-0.4855000078678131,success
mp-2554,Al3V,0.25,1,-248.3930053710937,-250.6840057373047,-0.5565000176429749,success
mp-2554,Al3V,1.0,6,-248.3930053710937,-261.2669982910156,-0.4111000001430511,success
mp-2567,V3Si,0.25,2,-1072.7969970703125,-1077.342041015625,-0.538100004196167,success
mp-2567,V3Si,1.0,11,-1072.7969970703125,-1081.987060546875,0.8991000056266785,success
mp-2572,SrMg2,0.25,7,-301.9070129394531,-315.5119934082031,-0.2089000046253204,success
mp-2572,SrMg2,1.0,28,-301.9070129394531,-343.9700012207031,0.2324000000953674,success
mp-2580,NbB,0.25,1,-838.1270141601562,-841.510986328125,-1.6492999792099,success
mp-2580,NbB,1.0,7,-838.1270141601562,-852.9089965820312,-0.3770999908447265,success
mp-259,AlMo3,0.25,3,-842.6480102539062,-850.35498046875,-0.8343999981880188,success
mp-259,AlMo3,1.0,12,-842.6480102539062,-869.2520141601562,-0.4823000133037567,success
mp-2591,Ti3O,0.25,2,-1081.2039794921875,-1084.9219970703125,-0.1247000023722648,success
mp-2591,Ti3O,1.0,11,-1081.2039794921875,-1102.779052734375,-0.2267999947071075,success
mp-2593,AlNi3,0.25,1,-440.1990051269531,-442.9620056152344,-1.0288000106811523,success
mp-2593,AlNi3,1.0,6,-440.1990051269531,-456.0450134277344,-0.9064000248908995,success
mp-260,CrB,0.25,1,-942.3900146484376,-945.3939819335938,-1.2696000337600708,success
mp-260,CrB,1.0,5,-942.3900146484376,-957.8930053710938,-1.366000056266785,success
mp-2605,CaO,0.25,1,-198.3809967041016,-199.55099487304688,0.5644000172615051,success
mp-2605,CaO,1.0,4,-198.3809967041016,-192.2550048828125,3.266200065612793,success
mp-2614,HfAl3,0.25,2,-440.3980102539063,-443.5700073242188,0.1486999988555908,success
mp-2614,HfAl3,1.0,8,-440.3980102539063,-456.0570068359375,-0.2225999981164932,success
mp-2631,Ba4Al5,0.25,12,-867.5,-887.1290283203125,0.0988999977707862,success
mp-2631,Ba4Al5,1.0,48,-867.5,-756.6799926757812,4.043399810791016,success
mp-2643,Ti3Cu4,0.25,3,-782.6110229492188,-790.1640014648438,-0.7832000255584717,success
mp-2643,Ti3Cu4,1.0,15,-782.6110229492188,-782.3480224609375,1.7522000074386597,success
mp-2646991,Ca2NF,0.25,1,-354.135009765625,-358.2260131835937,-2.356600046157837,success
mp-2646991,Ca2NF,1.0,5,-354.135009765625,-368.9739990234375,-1.233299970626831,success
mp-2653,BN,0.25,1,-390.9590148925781,-397.510986328125,-4.817599773406982,success
mp-2653,BN,1.0,2,-390.9590148925781,-400.2049865722656,-2.888400077819824,success
mp-2658,AlFe,0.25,1,-348.218994140625,-350.46099853515625,-0.5069000124931335,success
mp-2658,AlFe,1.0,4,-348.218994140625,-357.6400146484375,-0.6205999851226807,success
mp-2661,SrSi,0.25,2,-174.51699829101562,-182.9499969482422,-2.4821999073028564,success
mp-2661,SrSi,1.0,11,-174.51699829101562,-201.218002319336,-0.692799985408783,success
mp-2675,MgNi2,0.25,2,-425.1579895019531,-431.0639953613281,-1.2186000347137451,success
mp-2675,MgNi2,1.0,9,-425.1579895019531,-450.0320129394531,-1.029099941253662,success
mp-2686,Ca2N,0.25,1,-226.5890045166016,-231.35699462890625,-3.033099889755249,success
mp-2686,Ca2N,1.0,5,-226.5890045166016,-241.5570068359375,-1.258999943733215,success
mp-2716,TiNi,0.25,5,-1512.8800048828125,-1523.9310302734375,-0.4754999876022339,success
mp-2716,TiNi,1.0,23,-1512.8800048828125,-1541.3699951171875,0.4959000051021576,success
mp-2717,Zr2Ni7,0.25,2,-467.7630004882813,-473.4620056152344,-1.1150000095367432,success
mp-2717,Zr2Ni7,1.0,9,-467.7630004882813,-492.4849853515625,-1.0123000144958496,success
mp-2724101,Li2HfO3,0.25,2,-738.3829956054688,-741.8189697265625,0.0162000004202127,success
mp-2724101,Li2HfO3,1.0,10,-738.3829956054688,-754.3300170898438,0.1398999989032745,success
mp-2726,SrCu5,0.25,2,-344.0119934082031,-348.4159851074219,-0.4675000011920929,success
mp-2726,SrCu5,1.0,11,-344.0119934082031,-362.9030151367188,0.0173000004142522,success
mp-27272,Ca3PI3,0.25,11,-845.572021484375,-867.7930297851562,-0.2854000031948089,success
mp-27272,Ca3PI3,1.0,44,-845.572021484375,-918.3400268554688,0.0807999968528747,success
mp-2733,Al8Mo3,0.25,5,-1282.5570068359375,-1293.365966796875,-0.4271999895572662,success
mp-2733,Al8Mo3,1.0,22,-1282.5570068359375,-1318.8719482421875,0.0839999988675117,success
mp-27388,Ba(SiNi)2,0.25,2,-195.2250061035156,-202.75799560546875,-2.031399965286255,success
mp-27388,Ba(SiNi)2,1.0,8,-195.2250061035156,-217.738998413086,-1.0795999765396118,success
mp-2741,CaF2,0.25,1,-270.8580017089844,-272.0660095214844,0.5267000198364258,success
mp-2741,CaF2,1.0,5,-270.8580017089844,-278.2749938964844,0.2511999905109405,success
mp-27454,BaLi2Si,0.25,3,-286.02301025390625,-293.45001220703125,-0.7408999800682068,success
mp-27454,BaLi2Si,1.0,15,-286.02301025390625,-311.3869934082031,0.0436999984085559,success
mp-27456,BaBr2,0.25,6,-395.1109924316406,-407.81201171875,-0.382099986076355,success
mp-27456,BaBr2,1.0,25,-395.1109924316406,-355.0159912109375,3.338500022888184,success
mp-2754,Hf2Fe,0.25,6,-1805.8699951171875,-1818.510986328125,-0.3722000122070312,success
mp-2754,Hf2Fe,1.0,25,-1805.8699951171875,-1805.623046875,1.7445000410079956,success
mp-2758,SrSe,0.25,1,-105.16500091552734,-106.0979995727539,0.8015999794006348,success
mp-2758,SrSe,1.0,7,-105.16500091552734,-115.95099639892578,0.193800002336502,success
mp-2760,Nb6C5,0.25,3,-1316.85205078125,-1326.8900146484375,-1.611199975013733,success
mp-2760,Nb6C5,1.0,12,-1316.85205078125,-1341.0699462890625,-0.2834999859333038,success
