material_id,formula,energy_above_hull,n_elements
mp-1245211,Al2O3,0.049060340249999,2
mp-1247880,Al2O3,0.099734055,2
mp-1247899,Al2O3,0.095925542999999,2
mp-1247914,Al2O3,0.09287780000000001,2
mp-1938,Al2O3,0.09335591350000001,2
mp-2254,Al2O3,0.020825458749999002,2
mp-32570,Al2O3,0.039524041499999,2
mp-32591,Al2O3,0.057097098875,2
mp-7048,Al2O3,0.017159517999999003,2
mp-752826,Al2O3,0.093756465599999,2
mp-754401,Al2O3,0.095123856999999,2
mp-754624,Al2O3,0.074726125999998,2
mp-754812,Al2O3,0.08488599199999901,2
mp-755066,Al2O3,0.08892886000000001,2
mp-755175,Al2O3,0.081900228999999,2
mp-759943,Al2O3,0.035135316874999004,2
mp-776475,Al2O3,0.035034444749999005,2
mp-776490,Al2O3,0.046347576749999,2
mp-782035,Al2O3,0.09007793266666601,2
mp-1079029,Al2S3,0.041329718,2
mp-1228491,Al2S3,0.0,2
mp-2654,Al2S3,0.000773521666667,2
mp-684638,Al2S3,0.0029497319999990004,2
mp-11674,Al2Se3,0.0,2
mp-1247927,Al2Se3,0.08022124600000001,2
mp-685120,Al2Se3,0.027968650749999,2
mp-755043,Al2Si2O7,0.022963085833337,3
mp-1228443,Al2Si4Mo3,0.020085916666669,3
mp-707135,Al2Si4O11,0.036820903970589,3
mp-1228502,Al2SiAg7,0.06675701793333301,3
mp-1247890,Al2SiO5,0.054447478593749,3
mp-4753,Al2SiO5,0.0020398487499990003,3
mp-4934,Al2SiO5,0.004670723749999,3
mp-5065,Al2SiO5,0.0,3
mp-540629,Al2Te2Cl7,0.002678862954546,3
mp-1228524,Al2Te3,0.014948752749997001,2
mp-1247924,Al2Te3,0.07966354924999601,2
mp-29502,Al2Te3,0.0,2
mp-1214880,Al2Te4O11,0.007274154999993,3
mp-9254,Al2Te5,0.0,2
mp-568443,Al2VCl8,0.0,3
mp-1228540,Al2VNi9,0.0,3
mp-12524,Al2W,0.09311756111111401,2
mp-1206713,Al2Zn,0.024578678333334002,2
mp-1228522,Al2Zn2S5,0.012686238492062001,3
mp-2908,Al2ZnO4,0.0,3
mp-1096809,Al2ZnS4,0.091895948928572,3
mp-1096810,Al2ZnS4,0.000766054285714,3
mp-1228438,Al2ZnS4,0.060039805,3
mp-1247837,Al2ZnS4,0.013393648214286001,3
mp-4842,Al2ZnS4,0.0,3
mp-1104860,Al2ZnSe4,0.031004237142855003,3
mp-1228454,Al2ZnSe4,0.048318972857141006,3
mp-7907,Al2ZnSe4,0.0,3
mp-7908,Al2ZnTe4,0.0,3
mp-505537,Al3(Co10B3)2,0.005708143620688001,3
mp-1228605,Al3(MoS2)8,0.09474662055555401,3
mp-505472,Al3(Ni10B3)2,0.0,3
mp-1214868,Al3(O2F)2,0.076858529907406,3
mp-1214915,Al3(V3C2)4,0.0,3
mp-1228719,Al37(Fe6Cu)2,0.0,3
mp-1183130,Al3Ag,0.071258186874999,2
mp-16480,Al3Au8,0.001997207272729,2
mp-1228446,Al3BC,0.0,3
mp-1214836,Al3BC3,0.0030088402380950004,3
mp-1228599,Al3BC3,0.0,3
mp-1214851,Al3Co3Si4,0.040414634678572,3
mp-867780,Al3Cr,0.0,2
mp-1228485,Al3CrO6,0.013612335250000001,3
mp-762236,Al3CrO6,0.015479720249999001,3
mp-1183161,Al3Cu,0.096245834999999,2
mp-985825,Al3Cu,0.056474247499999006,2
mp-10886,Al3Cu2,0.029272975999999003,2
mp-1190708,Al3Fe2Si,0.000352695857139,3
mp-29066,Al3Fe2Si3,0.006851811503536,3
mp-1228467,Al3FeSi2,0.030932621588049002,3
mp-505229,Al3FeSi2,0.007568262838050001,3
mp-571247,Al3Mo,0.0,2
mp-1228939,Al3NO3,0.048324102142856006,3
mp-675601,Al3NO3,0.045385182142857,3
mp-622209,Al3Ni,0.0,2
mp-1057,Al3Ni2,0.0,2
mp-16514,Al3Ni5,0.0,2
mp-1229029,Al3Ni9C,0.04440754173077,3
mp-1229051,Al3NiMo12,0.047839338749998,3
mp-1229023,Al3SiMo12,0.008104089374999,3
mp-2554,Al3V,0.0,2
mp-983585,Al3Zn,0.036298491249999,2
mp-1228973,Al3ZnCr8,0.016436879999998003,3
mp-1229039,Al3ZnNi12,0.004389708124999001,3
mp-31408,Al4(B2O5)3,0.0,3
mp-1229052,Al41V4,0.027362764888888003,2
mp-31019,Al45Cr7,0.0,2
mp-567919,Al45V7,0.015895317307692003,2
mp-1229135,Al4B2O9,0.0,3
mp-1591,Al4C3,0.0,2
mp-13703,Al4CO4,0.0,3
mp-1228914,Al4CrNi15,0.001804654999997,3
mp-1228752,Al4Cu15,0.061765575789472005,2
mp-593,Al4Cu9,0.0,2
mp-30180,Al4Mo,0.022488266833331,2
mp-1228788,Al4Ni12C,0.038297231911762,3
mp-1228713,Al4Ni15,0.089605374736843,2
mp-1228460,Al4Ni15Sn,0.009885515749997001,3
mp-16515,Al4Ni3,0.0,2
mp-1228192,Al4Si2Mo3,0.043173193999999006,3
mp-1214816,Al4SiC4,0.047234519555557006,3
mp-1228506,Al4VNi15,0.0030285119999980004,3
mp-30336,Al4W,0.020917083733333,2
mp-1096832,Al4ZnS7,0.055353650555556,3
mp-1252778,Al5(CoO4)3,0.08063941437500001,3
mp-1354911,Al5(CoO4)3,0.08205330337499901,3
mp-1251086,Al5(FeO4)3,0.08725908862500001,3
mp-1359741,Al5(FeO4)3,0.063306307124999,3
mp-1380716,Al5(NiO4)3,0.095058947333333,3
mp-1229054,Al53Fe17Si12,0.0,3
